OR,ci_lower,ci_upper,p,pleio,region
1.9038179769114887,1.8720493513868826,1.9361257151293445,0.0,1,is_in_PLS
3.1000265056875906,3.044418731258504,3.156649982899349,0.0,3,is_in_PLS
0.40184891063253747,0.3971929720971607,0.4065594265778083,0.0,0,is_in_PLS
2.17889654118511,2.122573277530141,2.236714363384808,0.0,2,is_in_PLS
1.2127299635276845,1.2038289696611273,1.2216967704738477,0.0,1,is_in_dELS
1.2445991749909857,1.2307604614650594,1.2585934914941352,1.2216704712164325e-302,3,is_in_dELS
0.8108146316812457,0.8063245615057718,0.815329705101248,0.0,0,is_in_dELS
1.2526960869975818,1.2375033608620951,1.2680753329719052,3.9334251839566656e-269,2,is_in_dELS
1.8488214536995917,1.8228623782400177,1.8751502079713238,0.0,1,is_in_pELS
2.5698775716905304,2.525135626836165,2.6154122825286614,0.0,3,is_in_pELS
0.46991721123046487,0.4651958998429885,0.47468643959490747,0.0,0,is_in_pELS
2.0547169447809317,2.008952631485171,2.101523777615783,0.0,2,is_in_pELS
1.7416244979753297,1.7328145691842678,1.7504792179671835,0.0,1,ALL
2.137539758634181,2.122335193611655,2.152853250275942,0.0,3,ALL
0.535109548724159,0.5331116719986075,0.5371149126453959,0.0,0,ALL
1.848703545071166,1.833153718672951,1.8643852737198856,0.0,2,ALL
